'Imei','InternalName','DID','LID','Firmware','Modem','Operator','Country','FID','Latitude','Longitude','TimeZone','Age','NumFirstConnect','CatFirstConnectEqual','CatFirstConnectExtreme'
'558daf81ed326b415306600a84023a96','ATLAS_2SPB','2','35','0.1.37V11','BC66NBR01A11','Movistar','Spain','3414','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','203','8.0','alto','bajo'
'e3a370eb276beb95c5e986c15250a1ad','Atlas 2','31','2','0.0.68','BC66NBR01A10','Movistar','Spain','1857','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','1207','48.0','muy alto','bajo'
'433e607ed7c9a73d8f1e5eb4cd0904a6','ATLAS_2SPB','2','16','0.1.34V11','BC66NBR01A11','Movistar','Spain','962','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','630','5.0','bajo','bajo'
'80a575f5a9c10d53b0d7af217e11f281','ATLAS_2SPB','2','16','0.1.34V11','BC66NBR01A11','Vodafone','Spain','2277','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','609','4.0','muy bajo','bajo'
'd9c0ea62cc346c67285ca932f258718d','ATLAS_2SPB','2','29','0.1.37V11','BC66NBR01A11','Movistar','Spain','2462','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','528','8.0','alto','bajo'
'9acd5cfb53609ad226ac1138e6baf6d5','ATLAS_2SPB','2','15','0.1.33V11','BC66NBR01A11','Movistar','Spain','3816','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Madrid','35','3.0','muy bajo','bajo'
'a579d9b71fe3b0d7829a6bd09d5ea9b4','ATLAS_2SPB','2','15','0.1.33V11','BC66NBR01A11','Movistar','Spain','1914','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','559','24.0','muy alto','bajo'
'c16f25cc2175c4dba6e2547ac4cbb032','ATLAS_2SPB','2','15','0.1.33V11','BC66NBR01A11','Movistar','Spain','3133','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','265','4.0','muy bajo','bajo'
'7a6dd3fc88859412a3e0ccc5e9f2ca24','ATLAS_2G_SPB','2','22','0.2.36V11','M66FCR01A02BT','Movistar','Spain','2256','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','610','3.0','muy bajo','bajo'
'be47328e8331f7ce3d2dcbd7525cd6e6','ATLAS_2SPB','2','16','0.1.34V11','BC66NBR01A11','Movistar','Spain','2264','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','194','9.0','alto','bajo'
'f47f1b31fb03a9e4296afcedcbf8cc04','ATLAS_2SPB','2','16','0.1.37V11','BC66NBR01A11','Movistar','Spain','3311','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','147','6.0','alto','bajo'
'32b9c4011869bef9850d4b4c112e0439','Atlas 2','2','2','0.0.43','BC66NBR01A10','Vodafone','Spain','474','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','1406','5.0','bajo','bajo'
'6f7bb564b45f2cea1ff4719c5091ec8e','ATLAS_2S','2','7','0.1.15','BC66NBR01A11','1nce','Spain','522','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','659','2.0','muy bajo','bajo'
